date,symbol,margin_balance,short_balance,day_trade_volume,total_volume
2026-07-13,2419,6896.0,,,622212.0
2026-07-13,2420,1138.0,,,371864.0
2026-07-13,2421,5516.0,,,1402853.0
2026-07-13,2423,567.0,,,360876.0
2026-07-13,2425,3654.0,,,1372182.0
2026-07-13,2426,18895.0,,,11174294.0
2026-07-13,2427,5549.0,,,1912755.0
2026-07-13,2428,2945.0,,,3837173.0
2026-07-13,2429,2810.0,,,644839.0
2026-07-13,2430,111.0,,,341128.0
2026-07-13,2431,1694.0,,,282746.0
2026-07-13,2432,325.0,,,30000.0
2026-07-13,2433,47.0,,,33210.0
2026-07-13,2434,359.0,,,1048713.0
2026-07-13,2436,7269.0,,,4885069.0
2026-07-13,2439,3907.0,,,1053872.0
2026-07-13,2440,1585.0,,,450862.0
2026-07-13,2441,9865.0,,,14019955.0
2026-07-13,2442,4451.0,,,946269.0
2026-07-13,2449,21689.0,,,19407157.0
2026-07-13,2450,104.0,,,140195.0
2026-07-13,2451,5872.0,,,3695125.0
2026-07-13,2453,2715.0,,,466479.0
2026-07-13,2454,10182.0,,,7370647.0
2026-07-13,2455,10273.0,,,5766669.0
2026-07-13,2457,15443.0,,,2228341.0
2026-07-13,2458,5326.0,,,6353010.0
2026-07-13,2459,111.0,,,47206.0
2026-07-13,2460,311.0,,,2385623.0
2026-07-13,2461,8959.0,,,721243.0
2026-07-13,2462,2526.0,,,249332.0
2026-07-13,2464,14775.0,,,7582607.0
2026-07-13,2465,3108.0,,,7339700.0
2026-07-13,2466,6496.0,,,1177531.0
2026-07-13,2467,2282.0,,,1829197.0
2026-07-13,2468,3600.0,,,312960.0
2026-07-13,2471,1376.0,,,71940.0
2026-07-13,2472,10239.0,,,8149165.0
2026-07-13,2474,12516.0,,,3469094.0
2026-07-13,2476,39881.0,,,2652717.0
2026-07-13,2477,1153.0,,,85267.0
2026-07-13,2478,10059.0,,,7501366.0
2026-07-13,2480,407.0,,,249065.0
2026-07-13,2481,14912.0,,,4849378.0
2026-07-13,2482,1826.0,,,187987.0
2026-07-13,2483,2587.0,,,1841282.0
2026-07-13,2484,17179.0,,,49905981.0
2026-07-13,2485,16539.0,,,4950105.0
2026-07-13,2486,24403.0,,,13568571.0
2026-07-13,2488,479.0,,,773274.0
2026-07-13,2489,45299.0,,,6679770.0
2026-07-13,2491,2555.0,,,473939.0
2026-07-13,2492,9982.0,,,13817712.0
2026-07-13,2493,14760.0,,,3815359.0
2026-07-13,2495,10022.0,,,17848677.0
2026-07-13,2496,43.0,,,25869.0
2026-07-13,2497,3586.0,,,927352.0
2026-07-13,2498,30610.0,,,4637900.0
2026-07-13,2501,4923.0,,,2229091.0
2026-07-13,2504,4843.0,,,1480822.0
2026-07-13,2505,3338.0,,,114849.0
2026-07-13,2506,1845.0,,,279791.0
2026-07-13,2509,652.0,,,58398.0
2026-07-13,2511,3252.0,,,1470735.0
2026-07-13,2514,18121.0,,,286476.0
